Year,TotalViews,TagCount,TotalComments,AcceptedAnswers,TotalAnswers,TagRank,Tags
2015,1176467,547,1498,293,773,30,.net
2015,1274818,624,1792,283,835,29,ajax
2015,355380,207,307,94,255,45,amazon-web-services
2015,6781691,3641,7428,1562,4898,4,android
2015,652947,45,36,23,85,15,angular
2015,2147198,1565,2941,799,2081,47,angularjs
2015,254350,195,311,81,220,27,api
2015,1406710,1096,3367,688,2017,31,arrays
2015,1453181,711,1719,323,956,28,asp.net
2015,178274,56,102,31,89,17,asp.net-core
2015,1211602,475,1373,242,668,16,asp.net-mvc
2015,420462,202,290,95,291,39,azure
2015,655333,352,1134,229,562,6,bash
2015,1101350,988,4162,542,1632,58,c
2015,5121459,3398,9369,1747,4721,61,c#
2015,1959869,1885,6930,1009,2864,8,c++
2015,2650725,1976,4490,1150,3322,14,css
2015,20505,26,42,18,32,50,dart
2015,444225,381,1023,179,497,32,database
2015,737844,96,179,72,183,40,dataframe
2015,527896,501,827,268,627,55,django
2015,830297,155,183,80,232,59,docker
2015,1102153,597,1550,282,788,42,excel
2015,105005,59,93,29,69,9,firebase
2015,7379,2,1,2,5,53,flutter
2015,731663,398,662,228,512,2,git
2015,4347224,2943,7096,1661,4829,23,html
2015,2764002,2198,4300,1024,2912,54,ios
2015,8307710,4913,12277,2373,7134,35,java
2015,8452354,5836,14103,3169,8740,1,javascript
2015,3365643,2750,6869,1496,4158,72,jquery
2015,1265181,893,2377,461,1229,21,json
2015,161763,24,43,18,42,11,kotlin
2015,1112914,324,694,174,497,66,laravel
2015,1236323,561,1325,276,768,56,linux
2015,215165,288,793,179,566,69,list
2015,756842,378,610,194,448,60,mongodb
2015,348686,374,1233,177,515,63,multithreading
2015,1646538,1638,4562,838,2391,26,mysql
2015,1797165,882,1605,473,1157,71,node.js
2015,958143,162,425,101,260,19,numpy
2015,525086,724,1634,368,952,37,objective-c
2015,543638,332,839,153,490,38,oracle
2015,1144880,264,414,174,378,48,pandas
2015,4818900,3757,10467,1817,5281,13,php
2015,504610,313,728,151,400,70,postgresql
2015,9925084,3317,7144,1863,5082,68,python
2015,651381,369,766,194,504,43,python-2.7
2015,1200283,294,651,171,481,65,python-3.x
2015,1259261,977,2200,559,1211,34,r
2015,311122,88,118,34,139,46,react-native
2015,1581551,248,324,139,419,49,reactjs
2015,671520,652,1934,444,1117,36,regex
2015,421025,561,1036,320,804,44,ruby
2015,751266,863,1440,436,1115,52,ruby-on-rails
2015,1829342,440,941,186,571,3,spring
2015,697358,124,225,63,207,12,spring-boot
2015,1358511,1194,3340,694,1989,7,sql
2015,735837,732,2039,380,1118,41,sql-server
2015,585922,427,1211,262,868,22,string
2015,2032951,1175,2026,624,1674,57,swift
2015,1710604,41,80,30,184,64,tensorflow
2015,821027,423,750,240,595,20,twitter-bootstrap
2015,884447,111,110,62,178,51,typescript
2015,218961,325,889,152,372,24,vb.net
2015,704990,458,1245,237,626,10,vba
2015,56369,17,19,12,26,5,vue.js
2015,1078857,344,857,149,404,62,windows
2015,344612,430,762,174,463,18,wordpress
2015,323855,348,714,169,422,33,wpf
2015,627580,382,731,157,505,67,xcode
2015,546331,508,921,263,635,25,xml
2016,721415,508,1315,274,692,29,.net
2016,717508,580,1790,275,745,28,ajax
2016,509962,252,308,118,332,44,amazon-web-services
2016,5302757,3595,8209,1456,4974,4,android
2016,4530339,313,478,199,649,15,angular
2016,2196543,1610,3154,751,2123,46,angularjs
2016,361608,228,343,97,275,26,api
2016,1180190,1003,2824,617,1845,30,arrays
2016,1047256,732,1812,323,942,27,asp.net
2016,290759,78,146,47,127,17,asp.net-core
2016,793256,553,1644,273,730,38,asp.net-mvc
2016,371443,277,325,132,390,16,azure
2016,678207,366,888,233,609,6,bash
2016,647304,762,3408,415,1294,57,c
2016,4611925,3476,9702,1789,4802,60,c#
2016,1506253,1610,5754,877,2414,39,c++
2016,2442741,1826,4135,962,2930,8,css
2016,5373,22,64,15,25,49,dart
2016,514011,412,1001,189,522,31,database
2016,543084,121,166,96,190,54,dataframe
2016,918206,549,1055,299,689,58,django
2016,1421293,206,292,106,319,14,docker
2016,1166455,695,1509,333,854,9,excel
2016,215860,120,219,47,129,23,firebase
2016,615587,342,586,183,502,41,git
2016,3914933,2860,6848,1470,4550,52,html
2016,3200321,2063,4255,943,2854,2,ios
2016,7081950,4702,11508,2244,6714,53,java
2016,8796654,5997,13846,3126,8952,11,javascript
2016,2479800,2691,6918,1353,4034,21,jquery
2016,1574793,910,2322,465,1321,34,json
2016,136867,28,45,22,62,65,kotlin
2016,992059,435,968,211,616,55,laravel
2016,1030451,540,1194,229,713,1,linux
2016,233541,262,650,170,510,71,list
2016,613247,441,727,226,527,36,mongodb
2016,367205,297,879,161,405,68,multithreading
2016,1757722,1663,4956,800,2342,33,mysql
2016,2364443,1003,1808,502,1314,62,node.js
2016,899539,221,499,147,335,19,numpy
2016,497757,620,1455,295,850,47,objective-c
2016,464425,351,837,189,500,59,oracle
2016,983000,273,465,183,378,48,pandas
2016,3901373,3843,11127,1799,5346,13,php
2016,534921,357,713,196,466,45,postgresql
2016,8742773,3445,7402,1862,5173,42,python
2016,1088331,407,860,240,614,25,python-2.7
2016,696554,375,800,230,618,51,python-3.x
2016,1276574,959,2139,538,1169,69,r
2016,521354,125,187,54,180,67,react-native
2016,2752344,336,499,194,526,64,reactjs
2016,452796,619,1864,422,1030,5,regex
2016,400967,571,1299,324,843,37,ruby
2016,588807,850,1470,424,1085,70,ruby-on-rails
2016,1301168,508,976,235,669,12,spring
2016,786501,132,197,69,202,43,spring-boot
2016,1424620,1252,3441,719,1995,35,sql
2016,1046156,762,2382,401,1127,3,sql-server
2016,367191,391,1071,249,814,7,string
2016,1963373,1178,2586,609,1694,40,swift
2016,409517,64,74,34,106,22,tensorflow
2016,1668573,429,839,237,683,63,twitter-bootstrap
2016,2101295,193,294,123,382,56,typescript
2016,186884,324,857,156,353,50,vb.net
2016,819342,516,1159,248,645,20,vba
2016,196518,29,55,19,43,24,vue.js
2016,590756,330,931,143,370,10,windows
2016,371730,437,797,170,506,61,wordpress
2016,315151,334,734,181,400,66,wpf
2016,532020,286,576,123,392,32,xcode
2016,658578,486,943,242,659,18,xml
2017,463785,434,1263,196,492,30,.net
2017,526517,570,1904,248,736,47,ajax
2017,592560,360,570,156,475,29,amazon-web-services
2017,4763548,3061,6548,1196,4000,45,android
2017,3521368,1174,2700,541,1556,15,angular
2017,622907,938,1980,407,1166,4,angularjs
2017,203563,229,434,91,250,27,api
2017,1019487,1003,2963,589,1831,31,arrays
2017,518458,624,1613,242,687,17,asp.net
2017,387534,178,402,79,198,28,asp.net-core
2017,464618,437,1170,182,501,39,asp.net-mvc
2017,356570,338,489,169,405,58,azure
2017,458088,416,1047,244,653,16,bash
2017,480564,722,3729,365,1119,50,c
2017,2739270,3172,9504,1543,3922,40,c#
2017,1008986,1327,5168,658,1686,5,c++
2017,2085471,1848,4217,972,3029,61,css
2017,176547,27,16,17,46,8,dart
2017,315106,419,1022,175,545,32,database
2017,508888,239,399,157,373,6,dataframe
2017,650228,640,1245,299,730,52,django
2017,1260495,336,638,162,473,23,docker
2017,843550,828,2130,388,1002,59,excel
2017,654110,474,882,193,568,14,firebase
2017,215096,22,27,15,53,49,flutter
2017,581422,335,726,154,457,66,git
2017,2727215,2878,7046,1461,4478,21,html
2017,1709281,1479,3207,600,1872,9,ios
2017,5449469,4199,10994,1888,5712,2,java
2017,7125244,6047,15100,3081,8824,56,javascript
2017,1766480,2295,5847,1163,3446,34,jquery
2017,1691537,996,2297,513,1389,55,json
2017,940364,167,265,115,319,44,kotlin
2017,1093310,548,1427,259,791,69,laravel
2017,610773,479,1202,216,614,64,linux
2017,244436,289,721,177,550,53,list
2017,393617,415,1013,190,418,35,mongodb
2017,220299,284,919,132,370,24,multithreading
2017,1098667,1470,4177,684,1959,72,mysql
2017,1962873,1174,2360,548,1470,11,node.js
2017,615617,257,538,166,355,1,numpy
2017,121859,278,692,94,301,19,objective-c
2017,373908,326,799,147,449,13,oracle
2017,1091418,528,869,379,745,37,pandas
2017,2548897,3430,9724,1510,4534,54,php
2017,438945,373,764,184,464,48,postgresql
2017,7662758,4386,10035,2305,6045,46,python
2017,628571,393,919,186,549,63,python-2.7
2017,1336684,694,1524,364,961,60,python-3.x
2017,1162958,1230,2625,651,1494,3,r
2017,694298,286,439,122,377,12,react-native
2017,2717736,828,1447,447,1206,22,reactjs
2017,293511,497,1694,334,845,26,regex
2017,188473,403,903,214,544,43,ruby
2017,268358,543,1069,270,662,62,ruby-on-rails
2017,1117659,562,1233,229,673,68,spring
2017,950699,309,578,136,451,57,spring-boot
2017,825980,1375,3663,714,2152,70,sql
2017,559498,809,2493,392,1147,36,sql-server
2017,541380,360,1236,213,708,51,string
2017,1194752,1056,2331,505,1400,38,swift
2017,560368,319,389,153,345,71,tensorflow
2017,609186,368,770,187,512,42,twitter-bootstrap
2017,1978044,504,1013,286,713,65,typescript
2017,122108,273,813,99,267,41,vb.net
2017,628836,680,2002,324,798,20,vba
2017,740839,170,408,99,242,7,vue.js
2017,480692,309,782,109,347,10,windows
2017,385537,506,872,172,529,67,wordpress
2017,212358,298,840,157,331,33,wpf
2017,468109,278,599,106,362,18,xcode
2017,256405,467,884,221,546,25,xml
2018,259216,414,1327,193,479,47,.net
2018,144462,362,1130,154,411,30,ajax
2018,504898,461,658,170,528,29,amazon-web-services
2018,2933486,2772,6068,1080,3513,15,android
2018,2656701,1500,3318,699,2057,4,angular
2018,88004,269,523,97,301,45,angularjs
2018,172920,276,477,118,300,27,api
2018,885327,972,2858,568,1720,17,arrays
2018,228087,414,1004,150,441,49,asp.net
2018,475608,302,758,147,357,5,asp.net-core
2018,130327,317,1037,136,327,58,asp.net-mvc
2018,363657,375,615,171,436,31,azure
2018,175548,340,933,172,502,16,bash
2018,447041,706,3164,338,1004,52,c
2018,1745570,2883,9076,1351,3448,40,c#
2018,673950,1371,5657,664,1747,50,c++
2018,1018867,1509,3468,747,2306,39,css
2018,831058,156,276,82,283,28,dart
2018,198681,358,832,138,438,61,database
2018,248562,382,713,245,569,8,dataframe
2018,480294,671,1382,338,746,44,django
2018,674085,432,698,182,506,59,docker
2018,363192,740,1959,311,847,32,excel
2018,615255,605,1145,255,660,23,firebase
2018,1180510,241,425,102,430,34,flutter
2018,312184,304,536,149,414,64,git
2018,1240622,2276,5502,1125,3351,14,html
2018,1365822,1142,2549,498,1502,21,ios
2018,3227595,3846,9979,1641,4923,24,java
2018,4228820,5474,13349,2737,7714,51,javascript
2018,610853,1371,3769,706,1980,66,jquery
2018,623418,808,1949,416,1117,57,json
2018,377854,300,570,155,400,53,kotlin
2018,777162,725,1837,346,1056,56,laravel
2018,284958,358,930,147,439,69,linux
2018,193468,310,889,193,578,3,list
2018,247486,392,726,172,410,67,mongodb
2018,125566,221,745,101,249,22,multithreading
2018,786464,1185,3453,547,1560,55,mysql
2018,1348905,1350,2504,583,1569,9,node.js
2018,299554,291,713,170,371,1,numpy
2018,80179,143,387,60,143,46,objective-c
2018,163866,349,878,156,477,37,oracle
2018,684487,904,1646,554,1245,20,pandas
2018,1613410,2656,8072,1189,3327,60,php
2018,276811,392,808,192,455,12,postgresql
2018,4916454,5559,12647,2856,7450,62,python
2018,222229,244,638,122,331,2,python-2.7
2018,1169034,1504,3341,786,2026,35,python-3.x
2018,635454,1333,2704,717,1585,19,r
2018,858467,553,918,208,711,43,react-native
2018,2549830,1351,2545,656,1904,13,reactjs
2018,163281,513,1649,328,790,72,regex
2018,107322,285,668,139,358,11,ruby
2018,171524,419,876,195,488,71,ruby-on-rails
2018,659891,509,1142,199,634,36,spring
2018,881237,538,1190,194,659,26,spring-boot
2018,496575,1372,3894,735,2148,10,sql
2018,325875,814,2533,385,1161,33,sql-server
2018,196882,380,1098,240,712,41,string
2018,673471,1016,2509,501,1316,54,swift
2018,438008,363,533,138,370,7,tensorflow
2018,162879,138,295,69,190,6,twitter-bootstrap
2018,1416231,712,1492,412,961,68,typescript
2018,55641,211,733,92,204,48,vb.net
